SideStandInfo,Tbox MEMS Error Flag,Battery Error,BatTemp,BrakeStatus,Inverter Error,BatVolt,tboxId,BatCycleCount,BatSOH,BatPercent,ThrottlePercent,BatCurrent,GearInformation,ctime,sys_version,MotorRPM,MotorTemp,BMS ID,InverterTemp,Tbox Internal Bat Volt,Tbox_Internal_Bat_Volt,Tbox_MEMS_Error_Flag,Inverter_Error,Battery_Error,BMSID,tbox_id
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950819,1,0,25,BT106003012MT00221017764,36,63.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950819,1,0,25,BT106003012MT00221017764,36,63.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950849,1,0,25,BT106003012MT00221017764,36,64.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950849,1,0,25,BT106003012MT00221017764,36,64.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950879,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950879,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950879,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950879,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950909,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,2,1739950909,1,0,25,BT106003012MT00221017764,36,65.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,313,0,No Error,653,865209069546506,40,95,29,0,0,0,1739950939,1,0,25,BT106003012MT00221017764,36,66.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,313,0,No Error,653,865209069546506,40,95,29,0,0,0,1739950939,1,0,25,BT106003012MT00221017764,36,66.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,313,0,No Error,653,865209069546506,40,95,29,0,0,0,1739950939,1,0,25,BT106003012MT00221017764,36,66.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,313,0,No Error,653,865209069546506,40,95,29,0,0,0,1739950939,1,0,25,BT106003012MT00221017764,36,66.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
0,0.0,No Error,312,0,No Error,653,865209069546506,40,95,29,0,0,0,1739950969,1,0,25,BT106003012MT00221017764,36,64.0,,,,,,10813a3e-0646-4881-a015-c5f9d991c5f3
