Tbox_Internal_Bat_Volt,SideStandInfo,Tbox_MEMS_Error_Flag,BatTemp,BrakeStatus,BatVolt,Inverter_Error,rpm,state,BatCycleCount,BatSOH,BatPercent,ThrottlePercent,BatCurrent,GearInformation,Battery_Error,ctime,sys_version,MotorRPM,MotorTemp,BMSID,InverterTemp,tboxId,tbox_id
0,0,0,299,0,659,No Error,0,remote_unlock_nocharge,19,91,63,0,0,2,No Error,1740645351,1,0,25,BT106003012MT00221017784,34,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,659,No Error,0,remote_unlock_nocharge,19,91,63,0,0,2,No Error,1740645351,1,0,25,BT106003012MT00221017784,34,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,647,No Error,126,remote_unlock_nocharge,19,91,63,100,287,3,No Error,1740645381,1,126,25,BT106003012MT00221017784,36,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,647,No Error,126,remote_unlock_nocharge,19,91,63,100,287,3,No Error,1740645381,1,126,25,BT106003012MT00221017784,36,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,657,No Error,0,remote_unlock_nocharge,19,91,63,0,0,0,No Error,1740645411,1,0,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,657,No Error,0,remote_unlock_nocharge,19,91,63,0,0,0,No Error,1740645411,1,0,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,657,No Error,0,remote_unlock_nocharge,19,91,63,0,0,0,No Error,1740645411,1,0,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,657,No Error,0,remote_unlock_nocharge,19,91,63,0,0,0,No Error,1740645411,1,0,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,648,No Error,414,remote_unlock_nocharge,19,91,62,0,87,0,No Error,1740645442,1,414,25,BT106003012MT00221017784,41,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,648,No Error,414,remote_unlock_nocharge,19,91,62,0,87,0,No Error,1740645442,1,414,25,BT106003012MT00221017784,41,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,648,No Error,414,remote_unlock_nocharge,19,91,62,0,87,0,No Error,1740645442,1,414,25,BT106003012MT00221017784,41,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,299,0,648,No Error,414,remote_unlock_nocharge,19,91,62,0,87,0,No Error,1740645442,1,414,25,BT106003012MT00221017784,41,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,637,No Error,546,remote_unlock_nocharge,19,91,62,100,238,3,No Error,1740646063,1,546,25,BT106003012MT00221017784,43,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,637,No Error,546,remote_unlock_nocharge,19,91,62,100,238,3,No Error,1740646063,1,546,25,BT106003012MT00221017784,43,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,639,No Error,558,remote_unlock_nocharge,19,91,61,0,202,3,No Error,1740646092,1,558,25,BT106003012MT00221017784,43,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,639,No Error,558,remote_unlock_nocharge,19,91,61,0,202,3,No Error,1740646092,1,558,25,BT106003012MT00221017784,43,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,639,No Error,564,remote_unlock_nocharge,19,91,60,97,195,3,No Error,1740646122,1,564,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,303,0,639,No Error,564,remote_unlock_nocharge,19,91,60,97,195,3,No Error,1740646122,1,564,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,640,No Error,348,remote_unlock_nocharge,19,91,60,32,205,3,No Error,1740646153,1,348,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,640,No Error,348,remote_unlock_nocharge,19,91,60,32,205,3,No Error,1740646153,1,348,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,640,No Error,348,remote_unlock_nocharge,19,91,60,32,205,3,No Error,1740646153,1,348,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,640,No Error,348,remote_unlock_nocharge,19,91,60,32,205,3,No Error,1740646153,1,348,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,653,No Error,210,remote_unlock_nocharge,19,91,60,0,26,3,No Error,1740646182,1,210,25,BT106003012MT00221017784,46,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,653,No Error,210,remote_unlock_nocharge,19,91,60,0,26,3,No Error,1740646182,1,210,25,BT106003012MT00221017784,46,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,653,No Error,210,remote_unlock_nocharge,19,91,60,0,26,3,No Error,1740646182,1,210,25,BT106003012MT00221017784,46,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,304,0,653,No Error,210,remote_unlock_nocharge,19,91,60,0,26,3,No Error,1740646182,1,210,25,BT106003012MT00221017784,46,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,305,0,635,No Error,414,remote_unlock_nocharge,19,91,58,0,1,3,No Error,1740646213,1,414,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,305,0,635,No Error,414,remote_unlock_nocharge,19,91,58,0,1,3,No Error,1740646213,1,414,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,648,No Error,204,remote_unlock_nocharge,19,91,58,100,38,3,No Error,1740646242,1,204,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,648,No Error,204,remote_unlock_nocharge,19,91,58,100,38,3,No Error,1740646242,1,204,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,648,No Error,204,remote_unlock_nocharge,19,91,58,100,38,3,No Error,1740646242,1,204,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,648,No Error,204,remote_unlock_nocharge,19,91,58,100,38,3,No Error,1740646242,1,204,25,BT106003012MT00221017784,48,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,638,No Error,174,remote_unlock_nocharge,19,91,58,100,334,2,No Error,1740646272,1,174,25,BT106003012MT00221017784,49,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,638,No Error,174,remote_unlock_nocharge,19,91,58,100,334,2,No Error,1740646272,1,174,25,BT106003012MT00221017784,49,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,636,No Error,534,remote_unlock_nocharge,19,91,58,73,263,3,No Error,1740646302,1,534,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,636,No Error,534,remote_unlock_nocharge,19,91,58,73,263,3,No Error,1740646302,1,534,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,636,No Error,534,remote_unlock_nocharge,19,91,58,73,263,3,No Error,1740646302,1,534,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,306,0,636,No Error,534,remote_unlock_nocharge,19,91,58,73,263,3,No Error,1740646302,1,534,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,307,0,650,No Error,528,remote_unlock_nocharge,19,91,57,0,0,0,No Error,1740646332,1,528,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,307,0,650,No Error,528,remote_unlock_nocharge,19,91,57,0,0,0,No Error,1740646332,1,528,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,307,0,650,No Error,528,remote_unlock_nocharge,19,91,57,0,0,0,No Error,1740646332,1,528,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,307,0,650,No Error,528,remote_unlock_nocharge,19,91,57,0,0,0,No Error,1740646332,1,528,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,308,0,642,No Error,114,remote_unlock_nocharge,19,91,57,0,66,0,No Error,1740646363,1,114,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,308,0,642,No Error,114,remote_unlock_nocharge,19,91,57,0,66,0,No Error,1740646363,1,114,25,BT106003012MT00221017784,53,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,641,No Error,186,remote_unlock_nocharge,19,91,56,72,341,3,No Error,1740651119,1,186,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,641,No Error,186,remote_unlock_nocharge,19,91,56,72,341,3,No Error,1740651119,1,186,25,BT106003012MT00221017784,38,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,656,No Error,378,remote_unlock_nocharge,19,91,56,0,78,0,No Error,1740651149,1,378,25,BT106003012MT00221017784,42,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,656,No Error,378,remote_unlock_nocharge,19,91,56,0,78,0,No Error,1740651149,1,378,25,BT106003012MT00221017784,42,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,378,remote_unlock_nocharge,19,91,55,0,81,0,No Error,1740651179,1,378,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,378,remote_unlock_nocharge,19,91,55,0,81,0,No Error,1740651179,1,378,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,378,remote_unlock_nocharge,19,91,55,0,81,0,No Error,1740651179,1,378,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,378,remote_unlock_nocharge,19,91,55,0,81,0,No Error,1740651179,1,378,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,0,remote_unlock_nocharge,19,91,55,0,2,0,No Error,1740651209,1,0,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
0,0,0,311,0,652,No Error,0,remote_unlock_nocharge,19,91,55,0,2,0,No Error,1740651209,1,0,25,BT106003012MT00221017784,44,865209069519354,21868402-24e3-49fa-98f6-e2c6b83f5b38
